NaN,0.91398,0.69,0.44626
0.98837,0.89247,0.695,0.4972
1,0.75,0.74333,0.47581
0.97688,0.94265,0.68437,0.59629
NaN,0.77419,0.6,0.35739
NaN,0.92884,0.818,0
0.98837,0.77754,0.718,0.50785
0.68217,0.7276,0.76,0.56776
1,0.76774,0.79462,0.46875
NaN,0.98936,0.588,0.48754
1,0.90753,0.62,0.49324
0.99419,0.90108,0.975,0.38006
1,0.98925,0.804,0.50841
0.99225,0.58423,0.96667,0.46154
1,0.76129,0.8806,0.41745
1,0.75269,0.99,0.53583
1,0.96774,0.732,0.5271
NaN,0.96791,0.785,0.4439
0.98851,1,0.64575,0.59112
0.99612,0.95699,0.81,0.57009
0,0.96416,0.78667,0.44393
0.91473,NaN,0.8525,0.47664
0.99419,1,0.858,0.52804
1,0.99462,0.7947,0.44486
NaN,0.8172,0.668,0.55763
0,0.96774,0.7375,0.47975
NaN,0.94086,0.83,0.48411
0.98851,0.9328,0.5251,0.42804
1,0.99094,0.59667,0.6028
0,0.94624,0.84,0.47103
0.875,0.75,0.728,0.58178
0.94186,0.86828,0.84718,0.62617
0,0.94624,0.85079,0.43692
0.97095,1,0.76,0.44393
0,1,0.93,0.45639
0.96512,0.98925,0.752,0.52336
0.98851,0.93011,0,0.50701
0.98913,0.93978,0.89,0.50654
0.9564,1,0.802,0.61059
0,0.93548,0.67,0.46168
0,0.89394,0.566,0.48598
0.98958,0.93416,0.64201,0.55841
0,0.88978,0.815,0.64252
0.98069,NaN,0.73797,0.61215
0.66279,NaN,0.89,0.54766
0.98851,0.9086,0.92,0.59112
0.97093,0.71147,0.92,0.78704
0,0.97133,0.70159,0.42055
0,0.72473,0.768,0.54673
0.9887,0.98387,0.66333,0.63551
0.99419,0.92204,0.57,0.38084
0.98837,0.78495,0.61,0.61682
0.96552,0.94624,0.92,0.41869
0.99614,NaN,0.6925,0.62617
1,0.56886,0.71,0.57309
0.90725,0.84516,0.64833,0.53271
NaN,0.8,0.6525,0.53271
0.9186,0.91667,0.814,0.75
0.98844,0.98936,0.79,0.58255
0.98889,0.93011,NaN,0.47917
0.98851,0.90323,0.69415,0.5339
0.99429,0.95722,0.5975,0.68519
1,0,0.814,0.56698
0.98256,1,0.81047,0.36822
0.99617,0.97768,0.77,0.64815
0,0.86452,0.768,0.87037
0.99422,NaN,0.86667,0.62273
0.99614,0.96774,0.795,0.56832
0.87209,0.78495,0.98,0.35809
0.91279,0.68817,0.83333,0.43738
0.98062,0.93548,0.99,0.63657
0.72093,NaN,NaN,0.74299
0,0.84946,0.84,0.4683
NaN,0.7871,0.825,0.51215
0.99422,0.66667,0.68,0.62963
1,0.69624,0.6375,0.57009
0.82946,0.75,0.62333,0.5919
0,0.81004,0.672,0.50935
NaN,0.98936,0.685,0.50467
0,0.88602,0.84,0.56776
0.98844,0.71774,0.83,0.56449
0.98837,0.78136,0.65361,0.43738
0.99422,0.93907,0.734,0.58567
0.99614,0.98936,0.76815,0.45981
NaN,0.80914,NaN,0.56449
0.57752,0.96416,0.63333,0.52025
0.98851,0.97884,0.632,0.53271
0.9845,0.8172,0.726,0.43551
1,0.89606,0.60167,0.60125
NaN,0.87814,0.77736,0.50701
NaN,0.60215,0.98,0.62617
1,0.87857,0.792,0.5131
0.98947,0.90252,0.47139,0.44534
0.97093,0.91039,0.84,0.46963
0.97287,1,0.68085,0.52103
0.89767,0.89247,0.87745,0.39806
0.97093,0.99462,NaN,0.55611
0,0.99465,NaN,0.43682
0,0.92443,0.6824,0.46542
0,0.83871,0.80333,0.31776
